key,value
0,FFFFFFFFFFFF
1,FFFFFFFFFFFF
2,FFFFFFFFFFFF
3,FFFFFFFFFFFF
4,FFFFFFFFFFFF
5,FFFFFFFFFFFF
6,FFFFFFFFFFFF
7,FFFFFFFFFFFF
8,FFFFFFFFFFFF
9,FFFFFFFFFFFF
10,FFFFFFFFFFFF
11,FFFFFFFFFFFF
12,FFFFFFFFFFFF
13,FFFFFFFFFFFF
14,FFFFFFFFFFFF
15,FFFFFFFFFFFF
16,FFFFFFFFFFFF
17,FFFFFFFFFFFF
18,FFFFFFFFFFFF
19,FFFFFFFFFFFF
20,FFFFFFFFFFFF
21,FFFFFFFFFFFF
22,FFFFFFFFFFFF
23,FFFFFFFFFFFF
24,FFFFFFFFFFFF
25,FFFFFFFFFFFF
26,FFFFFFFFFFFF
27,FFFFFFFFFFFF
28,FFFFFFFFFFFF
29,FFFFFFFFFFFF
30,FFFFFFFFFFFF
31,FFFFFFFFFFFF
29,FFFFFFFFFFFF
30,FFFFFFFFFFFF
31,FFFFFFFFFFFF
